Vertices,Iterations,Time(ms)
100;700;0,462
200;1400;0,356
300;2095;0,466
400;2800;0,523
500;3500;0,391
600;4200;0,464
700;4900;0,542
800;5600;0,927
900;6295;0,695
1000;6980;0,760
1100;7690;1,125
1200;8400;0,490
1300;9085;0,394
1400;9790;0,410
1500;10493;0,549
1600;11198;0,459
1700;11885;0,542
1800;12600;0,575
1900;13298;0,493
2000;13996;0,529
2100;14686;1,654
2200;15388;0,991
2300;16077;0,705
2400;16784;0,739
2500;17485;0,669
2600;18181;1,484
2700;18894;0,861
2800;19584;0,973
2900;20289;1,034
3000;20997;1,447
3100;21696;1,594
3200;22360;0,949
3300;23087;3,361
3400;23790;1,570
3500;24500;1,592
3600;25168;2,284
3700;25890;2,961
3800;26562;4,315
3900;27268;3,275
4000;27963;4,589
4100;28678;1,362
4200;29376;3,974
4300;30074;1,796
4400;30777;4,558
4500;31466;3,455
4600;32174;3,879
4700;32863;8,854
4800;33559;1,977
4900;34237;2,499
5000;34955;2,967
5100;35671;8,003
5200;36349;2,193
5300;37075;2,930
5400;37762;1,851
5500;38473;2,772
5600;39122;2,014
5700;39867;2,497
5800;40550;4,333
5900;41255;5,775
6000;41972;4,067
6100;42686;3,176
6200;43367;3,257
6300;44044;4,291
6400;44762;3,545
6500;45466;5,888
6600;46131;2,903
6700;46847;3,034
6800;47535;1,830
6900;48238;2,284
7000;48959;2,046
7100;49636;2,379
7200;50347;3,861
7300;51070;1,859
7400;51762;2,396
7500;52460;1,912
7600;53158;3,752
7700;53869;4,372
7800;54539;2,220
7900;55262;2,772
8000;55935;2,323
8100;56656;2,127
8200;57357;2,381
8300;58051;2,842
8400;58737;3,060
8500;59463;3,245
8600;60192;3,113
8700;60838;2,919
8800;61547;2,810
8900;62253;4,939
9000;62934;2,982
9100;63650;2,916
9200;64341;3,619
9300;65054;4,622
9400;65706;4,425
9500;66458;3,129
9600;67123;4,200
9700;67861;4,126
9800;68570;5,389
9900;69226;4,774
10000;69883;4,202
